,text,sentiment
7,فرحانين تترجمون سوني اهم شي التامين 💕🤣 Neutral,Neutral
8,ماشاء الله تبارك الله حلوه ومميزه 💚 Mixed,Mixed
9,اتصلو فيني وما رديت عليهم 🙄 Neutral,Neutral
0,كل عام وانت بخير يا احلى مدينه 😚,Positive
1,والله الدنيا مش نازله من كتر البرد ، كرهت نفسي #كرهت_نفسي Neutral,Negative
2,يوم روعه وجو حلو وانا في الطريق 🤍 #الرياض Neutral,Neutral
3,مختلط الضياعه من حقي يابا 😭😭😭 #ضياعه Mixed,Mixed
4,لما اتكلم ابوس ايد امي وابوي وحبيب قلبي ابو الشبابط 🤍🤍🤍 #حبيب_قلبي,Positive
5,مو معقوله كل مره البس تايلور واطلع برا يمطر 😭 #عني_وش_سوي Neutral,Neutral
6,وين ثقه المستهلك فيكم 🤷🏻‍♂️🤦🏻‍♂️ #وين_ثقه_المستهلك Mixed,Mixed
7,لما اخوك يخذلك وينام قبل ماترد عليك 🤦🏻‍♂️💔 #حزن_و_وجع Neutral,Neutral
8,الدنيا ربيع وقلبي معك ياعمري 🌻🌻 #دنيا_ربيع Positive,Positive
9,اكره من قلبي نفسي بس عجزت ابعدها عنك #كرهت_نفسي Negative,Negative
0,ماقلت لك احمد البارودي دا زكي جدا بيخفي وشه بس قول بنفسي متحسس انه عايز يظهر اهتمامه بيا بس لما يحس اني هستناك منه نازل والله انا هزهز فيه 😭,Negative
1,بطل يا ارن مرحشني بهمايلك اعرفك كويس وانت هتكتب في ايه😂,Negative
2,يا قلبي عليكي يا حبيبتي واحشتني قوي 🥹 بس ربنا ما يحرمني منك يا حيات قلبي وجودك حلوه في حياتي اكتر من السكر,Positive
3,واحنا جينا نقولك انك برضه عزيز علينا يا روح القلب انت وفيت كفايا 😭❤️,Positive
4,لاااااااااع ياربي مش كدااااااااااا ابني بينتقم مني والله مش هسيبك,Negative
5,وحتى لو كلامي جارح والناس زعلت منه ده جزء من الواقع بس انتوا حاسين اني عمري ماقصدت ازعل حد بس بحكيلكم كلام الواقع,Mixed
6,دايما بتفتكريني في قداسك يا حبيبتي ❤️ ربنا يحفظك ويحميكي من كل شر يا حياتي 😭,Positive
7,واحد معلمني ف الاسكندريه قالولي انه 1000 جنيه يعني يبقي مكنتش مستعده عشان كدا قلقت 🥹,Negative
8,لا يا حبيبتي مش انا هصوم بكره هصوم من بعد بكره يا روح القلب 😍,Positive
9,انت كدا بتحطمني دايما يا حبيبتي ليه بتعملي فيا كدا ليه 😭💔,Negative
0,الله يفرحك يا قلبي حبيبي,Positive
1,يا عيني عليك يا حلوتي ماشاء الله تبارك الرحمن,Positive
2,شباب طيبين بس للأسف السياره فيها عيوب ماتستاهل السعر,Mixed
3,ماشفت حاجه حلوه احسن من كده,Positive
4,هههههههههه معلش بس ضحكتني جدا,Positive
5,يا اخي عيب عليك تضحك على اللي قدامك,Negative
6,مش عارف ايه اللي خلاني ادخل هنا🤔,Neutral
7,بجد حاجه جميله اوووووي ❤️,Positive
8,الحمد لله اني لقيت اللي كنت عايزه بالظبط,Positive
9,يا جماعه ابعدو عن البوست ده فيه بلاغ كاذب,Negative
0,يالله ترى بكره اجازه ونبي نستمتع زي الناس 😄,Positive
1,يوم جديد وبداية اسبوع جديد نتمنى يكون اسبوع حلو علينا ويحقق كل اللي نتمناه 🤞,Positive
2,صباح الخير حبايبي 🌞 وش اخباركم اليوم ؟؟ ان شاء الله بخير وصحه وسلامه 🥰,Positive
3,الله يعين الأهل الي اطفالهم يروحون مدارس عاديه 😰,Negative
4,الزحمه يوم الخميس 🤬🤬🤬,Negative
5,والله تعبت من الكذب والنفاق الي صاير بالمجتمع 💔,Negative
6,ياليتهم يرممون الطرقات وينظفونها 😭😭,Negative
7,مليت من الشغل والروتين 🥱,Negative
8,الحمد لله ع كل حال بس لو يجي اثنين مليون ريال كان زين 😂😂,Mixed
9,والله اني تعبان لكن ما عندي احد يحس بيا 💔,Mixed
10,انفجر البيت الله يكرمك بسبب الغاز 😭,Negative
11,والله حلوه الشاورما عندهم بس غاليه شوي 😅,Mixed
12,ما احب هالمطعم صراحه الاكل فيه سيئ 🤮,Negative
13,ياليت لو يرخصون البنزين شوي 😭😭,Negative
14,خلاص ياحظي الردي 😭😭,Negative
15,الحمد لله على كل حال وكفانا الله شر الحوادث 🥺,Mixed
16,السفر بوقت البر عذاب 🥵,Negative
0,ههههههههههههههههههههههههههههه,Positive
1,انا مش عايز اعمل شوبينج النهاردة يا عيني😂,Negative
2,توب تن علوم جديدة ومفيدة 👍,Positive
3,هي جتني رسالة من يزيد الراجحي اني فزت بس الحقيقة مش عارفة الكود ايه,Mixed
4,مبسوطة من نفسي اني قدرت اوصل لهدفي واتمنى اني استمر في النجاح وتحقيق الاهداف,Positive
5,معلش انا مش فاهمة نظامكم في البنك وعايزة اعرف ازاي اعمل حساب جديد,Negative
6,انا لسة منتظر الجائزة اللي وعدتونا بيها من اسبوعين,Negative
7,فضلت الساعات دي كلها مستنياك عشان نتقابل بس انت مشيت من غير ما تقولي حاجة 😭,Negative
8,شكلي هكمل الورق اللي فاضل بكرة وبعدين حاكلم نفسي,Neutral
9,الوش بتاعي دايماً مصفر على غير العادة,Negative
0,ياربي افتك من الضغط صرت احس بضيق و زهاب تركيز انشاء الله قريبا اترك كل هذا 😢,Negative
1,ابغى وظيفة بالتهذيب مو بالطرد 😭😭😭😡😡,Negative
2,منورة حبيبتي ياااا رب نكسب يلا قولي امين🥺🥺🥺🥺🥺,Positive
3,من زمان ماشفتك يا قلبي 🥺🥺🥺,Positive
4,#حاضر_وموجود,Neutral
5,مشكور ي قمر بردتو الله يبارك فيكم جميعا و يرزقكم من واسع فضله يا رب,Positive
6,عشان كده اكره الخريف 😭😡😡😡,Negative
7,بالله انتو عارفين مكان يبيع شاشات تلفزيون مستعمله بحاله حلوه وسعره كويس في #الرياض ⁉️,Neutral
8,بنات وين احصل زيت الارغان عندنا ؟,Neutral
9,مساء النور والسرور بنات الله يسعدكم ويسعد قلوبكم يا رب 😍 ويا رب يرزقكم الجنه يارب 😍,Positive
10,صراحه ماعندي اي امل بالاشخاص نهائيا احس كأن قلبي جمد 😭,Negative
11,مبروك الف مبروك عسى الله يباركلك فيه و يتمم عليك على خير يا رب,Positive
12,وانا ماشفت الدكتور اللي تعبت على نفسي عشان اوصل له ولا شي احس اني فشلت فشيله ذريعه 💔😭,Negative
13,احبك حيل يا ابني انا امك المحبه لك 😍😍😍😍,Positive
14,اشوف هذا الرقم 24/7 فبالي ومش عارفه مالو انتظر منه شيء ولا اترجاه شيء ؟؟؟؟ 🤔🤔🤔🤔,Neutral
15,وفوق كل هذا لسا عاوزه اعيش واصرف على امي ومستحيل اصرف عليها من فلوسه ولا هخليه يعرف اني بعمل ومش عاوزه هو كمان يصرف عليها انا عاوزه اصرف عليها من فلوسي وابينلها اني قادره اكون سند لها,Positive
16,طلعتي في تفكيري مش معقوله مش متخيله 😂😂,Positive
17,يارب سهل امورنا وارزقنا الرزق الوفير,Positive
18,تعبت تعب واستنفذ كل طاقتي يوميا عشان اكون ناجح في حياتي الله ينصرني يارب,Positive
19,صباح الخير يا حلوين من عنده محل مساج في الرياض ؟؟؟؟ 💆‍♀️💆‍♀️💆‍♀️💆‍♀️💆‍♀️,Neutral
20,ياااااربي الله يجزاك مليون خير يارب اليوم دورت كتير على محل يبيع هالشي مررررررة احتاجه ولا لقيت الله يسعدك و ييسر امرك ياااارب,Positive
21,لولا الفلتر كلنا هنجن 😂,Negative
22,للأسف السعودية هذي بلد الوظائف اللي ما تتعدي 7000 و 8000 للشباب خريجيين الجامعه,Negative
23,ابغى ادرس لغة ايطالي 🇮🇹🇮🇹 هل تعرفون كورسات بسعر معقول ؟,Neutral
24,الله يسعدك يارب يا كريم,Positive
25,انا ضايعه و مش عارفه ايه الصح ولا الغلط حسيت اني وصلت لطريق مسدود 💔💔💔,Negative
0,هذي الڤوتكة بغيت ألبسها من سنة💔🥺,Negative
1,"فاتورة رقم 23113854706
سددنا أول بالليل وإلى الآن ما وصلت الرسالة. ضحكتونا 😅",Negative
2,يازين الصباحية مع كوب شاهي ☕️🥮,Positive
3,وحشتني عمان عمان عمان عمان عمان عمان عمان عمان 🇴🇲,Positive
4,هذي الملصقات مره فشلة 😂,Negative
5,أخيرًا رجعت من السفر وجلست في البيت 🏠💔,Mixed
6,عندي اختبار بكرة وأنا ما ذاكرت ولا صفحة 🥲,Negative
7,يليت بس تفوزين يالقمر 🫶🏼♥️,Positive
8,يا جماعة التطبيقات اللي ترفع متابعين في الإنستجرام كذب ما يزيدوا عندي 💔,Negative
9,هذي الفرقة غنتهم تحفة بصراحة 🎶,Positive
0,مابقى الا الفوكس اتمنى ينزل بدري ❤️❤️,Positive
1,حلو بس ليه غالي ؟؟ 😭,Mixed
2,مادري ليه هالمحلات كلها مسكرة 😭,Neutral
3,فين محل فلان ؟؟ 💔,Negative
4,بضاعة ممتازة واسعار معقوله 👍👍,Positive
0,طلبت منك يا يزيد اني معي ضعف سمع و محتاجه اصرف سماعه طبيه قيمتها ١٣ الف ولا اقدر اعليها 😔.. ذا المشكله ماثره علي بالدراسه وحتى بحياتي 😔ً,Neutral
1,السلام عليكم ، جددت الهوية و وصلتني الجديدة و تم تفعيلها و اعتمادها في ابشر .. لكن توكلنا لا زالت القديمة موجودة كيف اغيرها في توكلنا ؟,Neutral
2,"حتى 60 ألف كالتالي : - 15,000 ناسمايلز ترحيبية عند إنفاق 5,000 ريال - 15,000 ناسمايلز إضافية عند إنفاق 10,000 ريال - 15,000 ناسمايلز إضافية عند إنفاق 50,000 ريال - 15,000 ناسمايلز إضافية عند تجديد البطاقة وسداد الرسوم السنوية.",Neutral
3,#5بطاقاتنا_تفوز,Neutral
4,الله يسعدك ابي قرض اصافي بسيط باليت احد يخدمني,Negative
5,محد يرد على الخاص !!!!!!!!!!!!!!,Negative
6,السلام عليكم بخصوص الأمر الملكي برفع إيقاف الخدمات وعدم منع التعاملات البنكية هل تفعل عندكم ولا لسى ؟,Neutral
7,متى بتتوفر جراند هايلاندر ؟,Neutral
8,هل يوجد طرق اخرى للطلب غير الطريقه النظامية بالحضور الى الفرع ورفع الطلب من قبل مختص المبيعات لديكم !!!!؟,Neutral
9,تخيل اشتري كورلا والسيارة تفتح النفس تصميمات اي شي وين اول كامري ٢٠٠٢ وكامري ٢٠٠٦ وافالون ٢٠٠٠ تحس تصميم افتخر انك شاريه وبسعر معقول حتى لكزس ، الحين المتفوق بالتصاميم صراحة يفوز كيا وهيونداي تحس مصمم,Mixed
10,وش مواصفات ال ES فئة BH ؟ ٦ سلندر ولا ٤ وهل هي هايبريد او لا وهل تجي سوح او فل اوبشن ؟,Neutral
0,محد حولك يمديك تعتمد عليه ولا احد يقدر يعوضك عن الشخص اللي فقدته الله يرحمك يا امي 😢,Negative
1,استمتع بتجربة تصفح سلسة وسريعة مع انترنت فايبر من تيليمن. احصل على سرعات فائقة واستمتع بالبث والتحميل دون انقطاع! 🌐🚀,Positive
2,اسعار البيوت نار مو حاطين باليهم الشباب واللي بس متزوج 🥵💔,Negative
3,الحمدلله على نعمة الاسلام 🕋🕌,Positive
4,اكو واحد كله يطالع فيها بس ماليه وجهه .. ولا ادري اشلون مايخجل من نفسه .. حرام والله 🤬,Negative
5,بكره بعطيكم لايكات على ستوري يامحششين 😂🙌,Positive
6,شكراً للعاملين في المركز الطبي، أنتم ملائكة الرحمة الذين ينقذون الأرواح ويخففون الألم. جزاكم الله خيراً على جهودكم وتفانيكم! 白衣天使,Positive
7,بطاقة صراف المواطن لمن لديه حساب الاهلي او الرياض يقدر يطلبها ؟,Neutral
8,صارو يخلطون بين الفن والسخافة 🤢,Negative
9,هذي صورة جواز السفر حق جوزي قبل وبعد التجميل 😂,Mixed
0,😔 الحمدلله على كل حال بس حابه اقول شي انا معرفش اتواصل مع الدعم الفني اشمعنا ؟,Negative
1,وين الهدايا 😔,Negative
2,يعني بجده ينحرموا من العيد 😭,Negative
3,💔💔💔 حرام عليكم احنا كمان عايزين العيدية 💔💔💔😔😔,Negative
4,حلو بس ما بنحاسب على المظاهر,Neutral
5,والله العظيم 💔💔💔 لييييه احنا احنا 😭😭😭,Negative
6,وربي انك صادق بجد,Positive
7,انا من من مدينة جده 😔,Negative
8,متأخرين جداً,Negative
9,لوسمحتوا عايزة اعرف كل الخدمات الموجودة في تطبيق كرونا,Neutral
0,حظي واتقفل يابوي 😭,Negative
1,ليه اسعاركم نار يا اخوان ؟؟ 🥺,Negative
2,عاجبني المنتج لكن غالي شوي 😁,Mixed
3,اطلب منه مخلل يوم الخميس وماوصل لي لين اليوم الاثنين 🙄,Negative
4,اسعاركم مناسبة وجودة ممتازه 👍,Positive
5,يارجال كل مره اتصل ولا احد يرد 👎,Negative
6,الموظف فلان قمة في الذوق والاحترام 😍,Positive
7,وش اخبار السحب ياجماعة ؟؟ متى راح يسحبون ؟؟,Neutral
8,متى بتنزلو العروض اللي وعدتونا فيها ؟؟؟؟ 😐,Neutral
9,للاسف طلبي وصلني ناقص ، ما استلمت كل الاغراض 😡,Negative
0,🙄تبغى تروح #السعودية قريب ان شا الله ؟ احنا نوفر لك #فيزا_السياحية #فيزا_الزيارة بأفضل الاسعار تابعنا,Positive
1,ياخي صدقت 😍ليتك معايا عشان نطلع #dinner ونشوف #film 🤩,Positive
2,يعني فاهم لما يكون فيه #خصم_هائل على خدمة #لوازم_المنزل في Hyper Panda 🤔,Neutral
3,انتوا اللي جبتوا الملابس دي ؟ حقيقي قرف 😠,Negative
4,حلوه بس مش #عجباني من غير فلتر 😂😂,Mixed
5,مش عارفة اقول ايه بس بحب الصوره دي❤️,Mixed
6,والله زهقت منكوا 😠,Negative
7,عايز اقول بس مفيش كلام يوصف 😌,Neutral
8,مش هعمل زيهم 😂😂,Positive
9,نفسي اشتريه بس عمري ما هقدر 💔,Mixed
0,جربت عطر واي دي من قبل ؟,Neutral
1,الله يهديهم بس,Negative
2,يا ليتكم تعرضون عروض اكثر على جالكسي ✌️,Mixed
3,مشكله الشحن يعني طول وبطء رهيب 💔,Negative
4,بالنسبه لي الجوال حلو بس بطاريته ضعيفه,Mixed
5,ما شاء الله خدمة ممتازه 👍🏼,Positive
6,شكرا على الاهتمام والرد السريع ❤️,Positive
7,غير راضي بالتعامل مع الموقع دا,Negative
8,يعطيكم العافية على جهدكم,Positive
9,الموقع حلو والعروض اوكي,Neutral
0,ناسف جاتني رساله تقول حسابك مقطوع سحبت علي 19 ريال وخلا الحساب في رقمين,Negative
1,هيا خلونا نشوف التخفيضات الحلوه عند عبد اللطيف المفارش الي تشفعلي عند زوجتي 😁😁,Positive
